pages, rows, time
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
6, 10, 708.21689891815
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(7, 'no such element...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
7, 2, 244.60555005074
Fatal error: Uncaught parallel\Future\Error\Foreign: element click intercepted: Element <a href="" ng-click="selectPage(page + 1, $event)" ng-disabled="noNext()||ngDisabled" uib-tabindex-toggle="" class="ng-binding">...</a> is not clickable at point (730, 830). Other element would receive the click: <div class="col-md-12">...</div>
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(64, 'element click i...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(7, 'no such element...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
7, 6, 457.33519601822
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
8, 2, 275.87092494965
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
8, 4, 404.86060285568
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
Fatal error: Uncaught parallel\Future\Error\Foreign: element click intercepted: Element <a href="" ng-click="selectPage(page + 1, $event)" ng-disabled="noNext()||ngDisabled" uib-tabindex-toggle="" class="ng-binding">...</a> is not clickable at point (730, 736). Other element would receive the click: <td ng-repeat="item in il.gc.gridParams.columns" permission="get" ng-click="item.link != true ? il.gc.gridParams.click_function(row) : il.gc.gridParams.link_function(row[item['key']])" class="ng-scope" role="button" tabindex="0">...</td>
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(64, 'element click i...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
9, 2, 282.00033593178
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
9, 4, 377.30707502365
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
Fatal error: Uncaught parallel\Future\Error\Foreign: element click intercepted: Element <a href="" ng-click="selectPage(page + 1, $event)" ng-disabled="noNext()||ngDisabled" uib-tabindex-toggle="" class="ng-binding">...</a> is not clickable at point (730, 832). Other element would receive the click: <div class="btn-group ng-scope" ng-if="il.gc.total > il.gc.per_page">...</div>
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(64, 'element click i...', Array)
#0 /var/www/html/csr/vendor/facebook/webdriver/lib/Remote/HttpCommandExecutor.php(331): Facebook\WebDriver\Exception\WebDriverException::throwException(13, 'Error forwardin...', Array)
